node,energy_shifted_kwh,net_shift_kwh,value_signal,dlmp_mean_signal,dlmp_max_signal
8,0.01439003277163712,-0.000523911476883465,0.00019485073334701603,43.64033124783645,86.30708462759083
10,0.011360703365232795,-0.011349858864219298,0.0006890321830942297,42.82572665457321,85.40870359654863
11,0.014272050913681973,-0.0005263201501353519,0.0001919854888883607,43.675483825800505,86.42930334859054
16,0.33036620338571526,-0.3303661162213527,0.3323917122703633,149.1418149824858,1974.9225359346094
20,1.6340530031538525,-0.00016888177908913615,2.886370975613607,452.73473916793756,6307.826596680807
22,1.2497324422673297,-1.2497324086815467,4.688889434467671,455.57232184489766,7091.918140572031
23,1.4991944754713427,-1.4991694924322718,6.912505753363157,538.7224342012544,9025.40804401997
24,2.455886663627271,-0.0002585291333189743,7.351123965613269,678.2777942940417,10523.78706854653
25,2.537784465169967,-0.09232071597695668,6.743812697199007,685.9080532837802,9171.08285225119
28,0.014886156808245118,-0.0004180752311890182,0.0002056060537477683,43.85996143656164,86.39186402074367
31,0.01560453040257704,-9.370486532620913e-07,0.0002148504387295067,43.902707040940925,86.39113330412151
32,0.0136968163670136,-0.0004303165366092308,0.00018134441260949023,43.5670532084741,86.44364038931289
33,0.01575198923214218,-8.186739323878464e-07,0.00021963380740827853,43.903569936773856,86.40296744541604
35,0.14564801588337054,-9.421211181800254e-07,0.018011479565147405,85.1153905014718,445.9828596352775
36,0.1539828141117854,-1.6095273536603782e-06,0.018832256684379163,85.04207872088821,443.69253144840513
38,0.1455467444192376,-9.550079242892293e-07,0.017976124527534644,85.08610770719527,445.45458540847017
42,1.278740974979173,-2.087614513188174e-06,1.2617746981379143,407.3676418283294,3284.816079526074
48,2.1943851712999,-3.137637126310322e-06,4.160178318631189,734.6319846442269,6226.88888660238
54,2.1262268410028544,-0.00011830008560715505,4.017077065079385,682.352366908253,6196.59673870436
56,0.06460348356655703,-8.78299356495485e-07,0.009061544409555871,55.12298364900215,461.84774266510277
60,0.04023120000099929,-0.040231187547772246,0.01146163255831112,52.4227867104777,457.68567838249606
62,0.2656000927808573,-0.00039326087056149733,0.17538440652246068,99.08762263314925,1914.8771622253857
65,0.6879522874238048,-0.0005178926423124799,1.1766192956765364,189.72120602279134,4863.037781778838
68,0.5468026331923921,-0.5468026280192803,2.7014338224606,221.2485231517375,7031.915615312486
74,0.770074909465608,-0.7700748512157574,5.393916467276843,295.79349374570364,9936.981798611032
