node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,0,36.102736143991216,31.0,5.102736143991216
8,1,38.356603613947854,31.0,7.356603613947854
8,2,31.873306780634486,31.0,0.8733067806344863
8,3,37.48655721511737,31.0,6.486557215117372
8,4,31.83632927087937,30.94,0.8963292708793702
8,5,39.68889458836847,30.94,8.748894588368469
8,6,36.54167848634236,30.94,5.601678486342362
8,7,36.11920798633238,30.94,5.179207986332376
8,8,35.99340335739106,31.32,4.673403357391059
8,9,34.520837235481125,31.32,3.2008372354811243
8,10,37.59732602059261,31.32,6.277326020592611
8,11,34.19330126585843,31.32,2.87330126585843
8,12,36.50775395152637,29.03,7.477753951526367
8,13,34.38265712303961,29.03,5.352657123039606
8,14,30.002615655961385,29.03,0.9726156559613841
8,15,33.26292552086743,29.03,4.2329255208674255
8,16,28.846411579299055,28.2,0.6464115792990555
8,17,28.84784217635438,28.2,0.6478421763543807
8,18,28.84952554384991,28.2,0.6495255438499115
8,19,28.851559892311858,28.2,0.6515598923118588
8,20,44.404132907545524,43.75,0.6541329075455238
8,21,44.40413308874618,43.75,0.6541330887461783
8,22,44.41033849297825,43.75,0.6603384929782479
8,23,44.42831603429896,43.75,0.6783160342989589
8,24,52.72046864488666,51.79,0.930468644886659
8,25,52.720468748186626,51.79,0.9304687481866267
8,26,52.720468774549545,51.79,0.9304687745495457
8,27,52.720468782894,51.79,0.9304687828940033
8,28,53.33046879062548,52.4,0.9304687906254827
8,29,53.33046879609524,52.4,0.9304687960952407
8,30,53.330468801641935,52.4,0.9304688016419362
8,31,53.33046880874925,52.4,0.9304688087492536
8,32,50.35046881384531,49.42,0.9304688138453088
8,33,50.35046882401584,49.42,0.9304688240158399
8,34,51.34029400584453,49.42,1.920294005844525
8,35,50.35046885688182,49.42,0.9304688568818165
8,36,50.310468865326264,49.38,0.9304688653262616
8,37,50.310468826498656,49.38,0.9304688264986538
8,38,50.31046882817305,49.38,0.9304688281730478
8,39,50.31046882680268,49.38,0.9304688268026808
8,40,47.310468828438175,46.38,0.9304688284381726
8,41,47.31046883075765,46.38,0.930468830757647
8,42,47.31046882991246,46.38,0.9304688299124564
8,43,47.31046883092605,46.38,0.9304688309260456
8,44,37.21046882971368,36.28,0.930468829713682
8,45,37.21046882756793,36.28,0.9304688275679283
8,46,37.210468830729674,36.28,0.9304688307296729
8,47,37.210468830706226,36.28,0.930468830706225
8,48,36.51046882934491,35.58,0.9304688293449104
8,49,36.51046883071288,35.58,0.9304688307128828
8,50,36.51046882817225,35.58,0.930468828172252
8,51,36.51046882879868,35.58,0.9304688287986806
8,52,36.44677236887263,35.22,1.2267723688726306
8,53,36.44681139204346,35.22,1.2268113920434587
8,54,36.447124164010184,35.22,1.2271241640101849
8,55,36.15046881179628,35.22,0.9304688117962812
8,56,35.85046882800172,34.92,0.9304688280017217
8,57,35.85046883179522,34.92,0.930468831795217
8,58,40.91207839644835,34.92,5.992078396448349
8,59,44.07552245375242,34.92,9.155522453752418
8,60,59.40279034050527,34.76,24.64279034050527
8,61,45.84916929246542,34.76,11.08916929246542
8,62,36.65687043915372,34.76,1.896870439153723
8,63,78.12226034439834,34.76,43.362260344398344
8,64,48.49305843214839,40.47,8.023058432148389
8,65,46.92888487467321,40.47,6.45888487467321
8,66,67.4318026323303,40.47,26.961802632330304
8,67,46.90556127628937,40.47,6.43556127628937
8,68,60.04593975066379,48.01,12.035939750663793
8,69,56.45227662534039,48.01,8.44227662534039
8,70,52.81576882446573,48.01,4.80576882446573
8,71,86.30708462759083,48.01,38.29708462759083
8,72,55.42514842844508,51.61,3.8151484284450774
8,73,70.90769246876006,51.61,19.29769246876006
8,74,81.06835207180725,51.61,29.458352071807255
8,75,55.57821203476589,51.61,3.968212034765891
8,76,49.96118516402154,47.16,2.801185164021547
8,77,49.726016119964854,47.16,2.566016119964857
8,78,76.34481870605907,47.16,29.184818706059076
8,79,51.535617411738016,47.16,4.37561741173802
8,80,38.060468826938305,37.13,0.9304688269383021
8,81,38.06046883792312,37.13,0.9304688379231152
8,82,38.06046882168917,37.13,0.9304688216891677
8,83,38.060468817946564,37.13,0.9304688179465614
8,84,35.62046881247933,34.69,0.930468812479333
8,85,35.62046881175125,34.69,0.9304688117512541
8,86,35.62046880747813,34.69,0.9304688074781353
