node,market,energy_kwh,price_eur_mwh,cost_eur
8,bilateral,0.0,38.0,0.0
8,spot,21.168996037642827,39.06041666666667,0.7406780202551163
10,bilateral,0.0,38.0,0.0
10,spot,12.134370657221474,39.06041666666667,0.39601816593809674
11,bilateral,0.1552580928395767,38.0,0.005899807527903914
11,spot,24.894720551704438,39.06041666666667,0.8783452259417693
16,bilateral,0.0,38.0,0.0
16,spot,9.622941095619378,39.06041666666667,0.3150991769081459
20,bilateral,0.0,38.0,0.0
20,spot,12.24115122931252,39.06041666666667,0.4046270223892292
22,bilateral,0.0,38.0,0.0
22,spot,13.160306073908572,39.06041666666667,0.43655383358635763
23,bilateral,0.0,38.0,0.0
23,spot,10.822691180945736,39.06041666666667,0.3518111112127214
24,bilateral,1.109669057535538,38.0,0.04216742418635044
24,spot,3.5121380647175475,39.06041666666667,-0.12395828083277327
25,bilateral,2.692109619317721,38.0,0.1023001655340734
25,spot,7.3879963565299605,39.06041666666667,0.11998991346208995
28,bilateral,0.0,38.0,0.0
28,spot,-1.1252025229358888,39.06041666666667,-0.23303801995515278
31,bilateral,0.125,38.0,0.00475
31,spot,-3.464158201624525,39.06041666666667,-0.2347982481918471
32,bilateral,0.3462624040037968,38.0,0.01315797135214428
32,spot,-0.8139483313905966,39.06041666666667,-0.22313427189709062
33,bilateral,0.0,38.0,0.0
33,spot,10.148170009920225,39.06041666666667,0.3276577490848281
35,bilateral,0.12728703040530787,38.0,0.004836907155401699
35,spot,-4.004576330120875,39.06041666666667,-0.40683005776901426
36,bilateral,1.6368576034157627,38.0,0.06220058892979898
36,spot,4.931578132341746,39.06041666666667,0.06253804131769616
38,bilateral,0.025000000000000022,38.0,0.0009500000000000009
38,spot,-4.048078253443115,39.06041666666667,-0.3371286933965072
42,bilateral,0.0,38.0,0.0
42,spot,13.560626780567347,39.06041666666667,0.4375748602632247
48,bilateral,0.0,38.0,0.0
48,spot,-1.7727493100876046,39.06041666666667,-0.31235746977771295
54,bilateral,1.4493395375428322,38.0,0.055074902426627624
54,spot,12.004559741494031,39.06041666666667,0.3545971069016788
56,bilateral,0.0,38.0,0.0
56,spot,3.6543862207151587,39.06041666666667,-0.003971970082546953
60,bilateral,0.0,38.0,0.0
60,spot,10.585235205181316,39.06041666666667,0.3469510945989605
62,bilateral,0.1290307693930508,38.0,0.004903169236935931
62,spot,-1.194852708824453,39.06041666666667,-0.23216819435013142
65,bilateral,0.017298963468708628,38.0,0.0006573606118109278
65,spot,20.818667814130013,39.06041666666667,0.7211866536925323
68,bilateral,0.0,38.0,0.0
68,spot,11.547529314743258,39.06041666666667,0.3788030122897752
74,bilateral,0.0,38.0,0.0
74,spot,9.811631167162878,39.06041666666667,0.3238807255262648
