5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.000000,2.609345,0.923858,0.923412,3.357552,1.541771,1.576554,0.000000,0.767056,0.352675,0.677747,1.958213,0.739138,0.433848,1.535446,0.365381,0.489736,0.000000,1.572451,0.564610,0.611190,0.308848,1.463717,0.446390,0.416205,0.365127,0.547876,0.542300,0.750535,0.000000,0.256429,0.289291,0.292042,0.187963,0.666000,0.940140,0.330332,0.325276,0.348820,0.387878,1.204937,0.171193
0.000000,1.518151,1.385787,1.385118,1.953467,1.048388,1.072040,0.000000,0.227284,0.211601,0.200821,1.139314,0.103136,0.260304,0.893342,0.219224,0.734603,0.000000,0.914872,0.078783,0.181100,0.185305,0.851610,0.669585,0.624307,0.547691,0.821815,0.813450,0.222388,0.000000,0.384644,0.433937,0.438063,0.112776,0.444003,0.626764,0.495498,0.487914,0.048673,0.581817,0.701048,0.102714
0.000000,0.853976,1.709146,1.708320,1.098845,1.139677,1.165389,0.000000,0.340916,0.268027,0.301223,0.640876,0.687576,0.329716,0.502514,0.277683,0.906015,0.000000,0.514625,0.525223,0.271642,0.234719,0.479039,0.825826,0.769982,0.675488,1.013576,1.003260,0.333573,0.000000,0.474396,0.535191,0.540280,0.142848,0.468666,0.661579,0.611117,0.601763,0.324487,0.717577,0.394347,0.130104
0.000000,1.328382,1.432004,1.431312,1.709284,0.925050,0.945919,0.000000,0.085224,0.183388,0.075302,0.996899,0.515682,0.225597,0.781674,0.189995,0.759102,0.000000,0.800513,0.393917,0.067907,0.160598,0.745158,0.691916,0.645128,0.565956,0.849222,0.840579,0.083389,0.000000,0.397471,0.448409,0.452673,0.097739,0.332510,0.469378,0.512023,0.504186,0.243365,0.601220,0.613417,0.089019
0.000000,0.142319,1.247216,1.246614,0.183128,0.152943,0.156393,0.000000,0.454548,0.000000,0.401625,0.106805,0.085941,0.000000,0.083746,0.000000,0.661147,0.000000,0.085765,0.065648,0.362184,0.000000,0.079834,0.602631,0.561880,0.492925,0.739638,0.732110,0.444758,0.000000,0.346181,0.390546,0.394259,0.000000,1.184000,1.671360,0.445951,0.439125,0.040558,0.523638,0.065720,0.000000
0.000000,1.233513,1.154836,1.154278,1.587212,0.707979,0.723951,0.000000,0.340916,0.141064,0.301223,0.925704,0.721955,0.173532,0.725850,0.146146,0.612176,0.000000,0.743343,0.551484,0.271642,0.123534,0.691942,0.557994,0.520262,0.456414,0.684853,0.677883,0.333573,0.000000,0.320540,0.361618,0.365057,0.075182,0.973839,1.374693,0.412919,0.406600,0.340711,0.484853,0.569609,0.068474
0.000000,0.569307,1.016265,1.015774,0.732550,0.152943,0.156393,0.000000,0.312508,0.112851,0.276122,0.427243,0.876654,0.138825,0.335003,0.116917,0.538720,0.000000,0.343077,0.669654,0.249006,0.098827,0.319354,0.491039,0.457834,0.401648,0.602676,0.596542,0.305777,0.000000,0.282078,0.318227,0.321253,0.060146,1.072507,1.513974,0.363372,0.357811,0.413717,0.426674,0.262893,0.054780
0.000000,0.569307,1.016265,1.015774,0.732550,0.522956,0.534754,0.000000,0.255692,0.253925,0.225921,0.427243,0.378167,0.312369,0.335003,0.263073,0.538720,0.000000,0.343077,0.288872,0.203735,0.222370,0.319354,0.491039,0.457834,0.401648,0.602676,0.596542,0.250184,0.000000,0.282078,0.318227,0.321253,0.135333,1.294512,1.827361,0.363372,0.357811,0.178468,0.426674,0.262893,0.123259
0.000000,0.474438,1.247216,1.246614,0.610479,0.152943,0.156393,0.000000,0.284100,0.155175,0.251022,0.356047,0.498487,0.190891,0.279179,0.160766,0.661147,0.000000,0.285907,0.380782,0.226371,0.135892,0.266137,0.602631,0.561880,0.492925,0.739638,0.732110,0.277981,0.000000,0.346181,0.390546,0.394259,0.082703,0.690671,0.974966,0.445951,0.439125,0.235250,0.523638,0.219085,0.075324
