node,market,energy_kwh,price_eur_mwh,cost_eur
7,bilateral,6.473090080469416,38.0,0.2459774230578378
7,spot,3.744793955761258,39.06041666666667,0.12731810331596194
8,bilateral,0.30990684896615084,38.0,0.01177646026071373
8,spot,22.50115983953279,39.06041666666667,0.7106456250761856
9,bilateral,4.467938605498269,38.0,0.1697816670089342
9,spot,7.569700712953686,39.06041666666667,0.25724528037676403
10,bilateral,0.30000000000000004,38.0,0.011400000000000002
10,spot,15.108178327618504,39.06041666666667,0.4555531133216755
11,bilateral,0.7637094169873276,38.0,0.02902095784551845
11,spot,26.22938616440308,39.06041666666667,0.8384735537377154
12,bilateral,8.682907709171559,38.0,0.32995049294851925
12,spot,12.655637189889843,39.06041666666667,0.43514191376836375
13,bilateral,5.307884831526204,38.0,0.20169962359799576
13,spot,1.444882448431715,39.06041666666667,0.027977705991027522
14,bilateral,2.978403563198696,38.0,0.11317933540155045
14,spot,-7.997237011146449,39.06041666666667,-0.3122081412977633
15,bilateral,4.892315330807278,38.0,0.1859079825706766
15,spot,-5.400618361712135,39.06041666666667,-0.26060776428749116
16,bilateral,0.0,38.0,0.0
16,spot,7.945459780922384,39.06041666666667,0.2256535230052067
17,bilateral,4.188470052068446,38.0,0.15916186197860094
17,spot,2.423101971374932,39.06041666666667,0.08238230214562244
18,bilateral,7.155621850957429,38.0,0.27191363033638233
18,spot,5.386460257898225,39.06041666666667,0.16760437620687701
19,bilateral,12.597421879601331,38.0,0.47870203142485057
19,spot,9.60183379251222,39.06041666666667,0.3284826511632168
20,bilateral,0.0,38.0,0.0
20,spot,11.123643693291335,39.06041666666667,0.32429810254425034
21,bilateral,7.355162367193387,38.0,0.27949616995334875
21,spot,7.582659974289314,39.06041666666667,0.23344685007807747
22,bilateral,0.0166662871397677,38.0,0.0006333189113111726
22,spot,12.298796373289928,39.06041666666667,0.36374287127941224
23,bilateral,0.19999999999999996,38.0,0.007599999999999998
23,spot,13.282156036666189,39.06041666666667,0.39351544571325453
24,bilateral,0.0999995592590851,38.0,0.0037999832518452337
24,spot,1.9743586073625277,39.06041666666667,-0.15645484044989533
25,bilateral,0.267281609038561,38.0,0.01015670114346532
25,spot,12.389434063594248,39.06041666666667,0.2522954366041225
26,bilateral,6.237228559785273,38.0,0.2370146852718404
26,spot,-1.4099708346783646,39.06041666666667,-0.06071488277073103
27,bilateral,3.8077000473349507,38.0,0.14469260179872814
27,spot,2.2028199739772107,39.06041666666667,0.07489300195056584
28,bilateral,0.0,38.0,0.0
28,spot,-2.480201285147537,39.06041666666667,-0.3474675995395252
29,bilateral,5.879834132856055,38.0,0.22343369704853008
29,spot,6.50557148957296,39.06041666666667,0.17596499404713487
30,bilateral,2.7466548741411008,38.0,0.10437288521736182
30,spot,-3.828621069002772,39.06041666666667,-0.19215581651688807
31,bilateral,0.0,38.0,0.0
31,spot,1.0082858491920392,39.06041666666667,-0.13017544811730739
32,bilateral,0.0,38.0,0.0
32,spot,3.2515839597810356,39.06041666666667,-0.09766436757846575
33,bilateral,0.07499999999999996,38.0,0.0028499999999999984
33,spot,10.999628172975799,39.06041666666667,0.31929623002039087
34,bilateral,5.718961415037785,38.0,0.21732053377143584
34,spot,9.689216912580719,39.06041666666667,0.32927395888225797
35,bilateral,0.09999999999999998,38.0,0.003799999999999999
35,spot,-5.1148454134640815,39.06041666666667,-0.4468243451834029
36,bilateral,0.0,38.0,0.0
36,spot,8.93850575757748,39.06041666666667,0.19826637355252733
37,bilateral,3.827110083364051,38.0,0.14543018316783393
37,spot,-1.1279067675223018,39.06041666666667,-0.10603142453204097
38,bilateral,0.0,38.0,0.0
38,spot,-1.5634717675997483,39.06041666666667,-0.2765011740216529
39,bilateral,5.897678959257715,38.0,0.22411180045179316
39,spot,9.992004941098864,39.06041666666667,0.3395637700973284
40,bilateral,3.574067979878708,38.0,0.1358145832353909
40,spot,4.371391801043675,39.06041666666667,0.14858449325813314
41,bilateral,8.512015320767356,38.0,0.3234565821891595
41,spot,6.54109801822705,39.06041666666667,0.22355899147102093
42,bilateral,0.0,38.0,0.0
42,spot,14.336298418089907,39.06041666666667,0.43507019707099454
43,bilateral,4.065252648179845,38.0,0.1544796006308341
43,spot,-0.8136686883988129,39.06041666666667,-0.085441437240747
44,bilateral,2.3297110538898744,38.0,0.08852902004781522
44,spot,-3.7289530683882255,39.06041666666667,-0.1616703923069478
45,bilateral,10.347882258243951,38.0,0.39321952581327013
45,spot,7.887220615277895,39.06041666666667,0.26982503488407095
46,bilateral,3.753068428618546,38.0,0.14261660028750475
46,spot,6.358548598881097,39.06041666666667,0.21608603551648173
47,bilateral,9.435478809049474,38.0,0.35854819474388
47,spot,13.375587879449462,39.06041666666667,0.4554484478618016
48,bilateral,0.0,38.0,0.0
48,spot,-4.282009658116291,39.06041666666667,-0.3961973357803171
49,bilateral,9.749994769351126,38.0,0.37049980123534276
49,spot,13.821440808764443,39.06041666666667,0.4706300627905283
50,bilateral,2.9650395944286534,38.0,0.11267150458828883
50,spot,-9.181989012155167,39.06041666666667,-0.3917236268115297
51,bilateral,3.8077000473349507,38.0,0.14469260179872814
51,spot,2.2028199739772107,39.06041666666667,0.07489300195056584
52,bilateral,13.056759165821354,38.0,0.4961568483012115
52,spot,4.724850775882141,39.06041666666667,0.1598892354676861
53,bilateral,8.10668125787367,38.0,0.3080538877991995
53,spot,6.229617160216237,39.06041666666667,0.2129133252104961
54,bilateral,0.018863036061484317,38.0,0.000716795370336404
54,spot,15.322469088714678,39.06041666666667,0.4213021664030962
55,bilateral,3.574067979878708,38.0,0.1358145832353909
55,spot,4.371391801043675,39.06041666666667,0.14858449325813314
56,bilateral,0.0,38.0,0.0
56,spot,4.292657886849863,39.06041666666667,-0.046825594205649114
57,bilateral,4.831702920909233,38.0,0.18360471099455086
57,spot,-6.394487356602494,39.06041666666667,-0.25332680617582587
