wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1789091489.512635,,,concentrator_trafo_1_5,dso,subscribe,100,1.682034,0
1789091489.513968,,,concentrator_trafo_2_12,dso,subscribe,100,3.408170,0
1789091489.514983,,,concentrator_trafo_3_22,dso,subscribe,100,5.762847,0
1789091489.515799,,,concentrator_trafo_4_34,dso,subscribe,100,1.628649,0
1789091489.516454,,,prosumer5,concentrator_trafo_1_5,subscribe,100,2.186822,0
1789091489.516924,,,prosumer6,concentrator_trafo_1_5,subscribe,100,1.101703,0
1789091489.517277,,,prosumer7,concentrator_trafo_1_5,subscribe,100,4.012804,0
1789091489.517622,,,prosumer8,concentrator_trafo_1_5,subscribe,100,0.107577,0
1789091489.517951,,,prosumer9,concentrator_trafo_1_5,subscribe,100,0.448118,0
1789091489.518247,,,prosumer10,concentrator_trafo_1_5,subscribe,100,2.725239,0
1789091489.518573,,,prosumer11,concentrator_trafo_1_5,subscribe,100,3.231097,0
1789091489.518901,,,prosumer12,concentrator_trafo_2_12,subscribe,100,0.325339,0
1789091489.519184,,,prosumer13,concentrator_trafo_2_12,subscribe,100,0.936077,0
1789091489.519456,,,prosumer14,concentrator_trafo_2_12,subscribe,100,0.838808,0
1789091489.519741,,,prosumer15,concentrator_trafo_2_12,subscribe,100,6.579738,0
1789091489.520032,,,prosumer16,concentrator_trafo_2_12,subscribe,100,2.237694,0
1789091489.520306,,,prosumer17,concentrator_trafo_2_12,subscribe,100,1.230253,0
1789091489.520577,,,prosumer18,concentrator_trafo_2_12,subscribe,100,3.372810,0
1789091489.520868,,,prosumer19,concentrator_trafo_2_12,subscribe,100,1.758636,0
1789091489.521135,,,prosumer20,concentrator_trafo_2_12,subscribe,100,3.730763,0
1789091489.521398,,,prosumer21,concentrator_trafo_2_12,subscribe,100,4.872449,0
1789091489.521670,,,prosumer22,concentrator_trafo_3_22,subscribe,100,0.274593,0
1789091489.521935,,,prosumer23,concentrator_trafo_3_22,subscribe,100,1.518568,0
1789091489.522195,,,prosumer24,concentrator_trafo_3_22,subscribe,100,3.122251,0
1789091489.522458,,,prosumer25,concentrator_trafo_3_22,subscribe,100,5.422024,0
1789091489.522736,,,prosumer26,concentrator_trafo_3_22,subscribe,100,3.955514,0
1789091489.523000,,,prosumer27,concentrator_trafo_3_22,subscribe,100,2.718453,0
1789091489.523255,,,prosumer28,concentrator_trafo_3_22,subscribe,100,2.004129,0
1789091489.523493,,,prosumer29,concentrator_trafo_3_22,subscribe,100,7.210025,0
1789091489.523745,,,prosumer30,concentrator_trafo_3_22,subscribe,100,3.284341,0
