wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504441.247864,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1048,16.250215,0
1788504441.360372,,ciclo3_AM_AC_AD,dso,market,propose,1316,23.701097,0
1788504441.604431,,,market,concentrator_alimentador_650,reject-proposal,1409,25.062209,0
1788504441.605776,,,market,dso,reject-proposal,1128,17.427572,0
1788504441.660972,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.485670,0
1788504441.663871,,ciclo3_AM_AC_AD,market,dso,cfp,100,0.184471,0
1788504441.879068,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1465,24.022242,0
1788504441.964391,,ciclo3_AM_AC_AD,dso,market,propose,1272,24.215409,0
1788504442.212981,,,market,concentrator_alimentador_650,reject-proposal,1361,20.847997,0
1788504442.213693,,,market,dso,reject-proposal,1414,25.011406,0
1788504442.267053,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.910578,0
1788504442.269530,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.612886,0
1788504442.475722,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1308,23.921380,0
1788504442.606710,,ciclo3_AM_AC_AD,dso,market,propose,1461,24.195589,0
1788504442.853049,,,market,concentrator_alimentador_650,reject-proposal,1075,18.345445,0
1788504442.853950,,,market,dso,reject-proposal,1158,20.058606,0
1788504442.909878,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.459550,0
1788504442.913262,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.296670,0
1788504443.112827,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1050,16.345079,0
1788504443.249481,,ciclo3_AM_AC_AD,dso,market,propose,1373,21.320718,0
1788504443.470533,,,market,concentrator_alimentador_650,reject-proposal,1037,18.907277,0
1788504443.471671,,,market,dso,reject-proposal,1460,26.207249,0
1788504443.527575,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.244780,0
1788504443.530769,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.625666,0
1788504443.787554,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1435,25.874932,0
1788504443.856682,,ciclo3_AM_AC_AD,dso,market,propose,1350,20.629094,0
1788504444.069000,,,market,concentrator_alimentador_650,reject-proposal,1169,18.494227,0
1788504444.069344,,,market,dso,reject-proposal,1241,21.052935,0
1788504444.125239,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.978386,0
1788504444.128431,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.593074,0
1788504444.337628,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1286,23.733021,0
1788504444.472162,,ciclo3_AM_AC_AD,dso,market,propose,1051,19.390631,0
1788504444.671432,,,market,concentrator_alimentador_650,reject-proposal,1181,18.361140,0
1788504444.672071,,,market,dso,reject-proposal,1222,18.290240,0
1788504444.728587,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.079034,0
1788504444.731843,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.556588,0
1788504444.941888,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1161,20.191853,0
1788504445.057264,,ciclo3_AM_AC_AD,dso,market,propose,1312,23.902280,0
1788504445.302909,,,market,concentrator_alimentador_650,reject-proposal,1327,23.611093,0
1788504445.303666,,,market,dso,reject-proposal,1467,22.926054,0
1788504445.358956,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.552258,0
1788504445.361670,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.932939,0
1788504445.577010,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1104,17.772580,0
1788504445.654066,,ciclo3_AM_AC_AD,dso,market,propose,1494,22.939336,0
1788504445.887631,,,market,concentrator_alimentador_650,reject-proposal,1282,23.842313,0
1788504445.888427,,,market,dso,reject-proposal,1244,19.696757,0
1788504445.945729,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.670755,0
1788504445.948816,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.524221,0
1788504446.158217,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1226,18.407426,0
1788504446.271720,,ciclo3_AM_AC_AD,dso,market,propose,1443,24.113258,0
1788504446.520525,,,market,concentrator_alimentador_650,reject-proposal,1266,18.849728,0
1788504446.521978,,,market,dso,reject-proposal,1133,16.664283,0
1788504446.578108,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.526557,0
1788504446.581371,,ciclo3_AM_AC_AD,market,dso,cfp,100,0.092577,0
1788504446.798702,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1031,18.257093,0
1788504446.890218,,ciclo3_AM_AC_AD,dso,market,propose,1412,24.034957,0
1788504447.137458,,,market,concentrator_alimentador_650,reject-proposal,1470,24.735258,0
1788504447.138867,,,market,dso,reject-proposal,1280,21.623816,0
1788504447.195254,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.728059,0
1788504447.198719,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.263102,0
1788504447.412970,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1468,23.648281,0
1788504447.541466,,ciclo3_AM_AC_AD,dso,market,propose,1007,14.877681,0
1788504447.696987,,,market,concentrator_alimentador_650,reject-proposal,1047,16.267577,0
1788504447.698380,,,market,dso,reject-proposal,1368,21.136077,0
1788504447.754673,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.372810,0
1788504447.757884,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.758636,0
1788504448.019444,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1430,25.950763,0
1788504448.090041,,ciclo3_AM_AC_AD,dso,market,propose,1204,21.957217,0
1788504448.316337,,,market,concentrator_alimentador_650,reject-proposal,1363,22.801338,0
1788504448.317366,,,market,dso,reject-proposal,1422,24.632394,0
1788504448.373506,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.195560,0
