node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,0,53.153608661388795,31.0,22.153608661388795
8,1,43.54678485318657,31.0,12.546784853186573
8,2,43.146192952734225,31.0,12.146192952734225
8,3,43.550000178994836,31.0,12.550000178994836
8,4,37.662480155236715,30.94,6.722480155236713
8,5,45.55589964757053,30.94,14.615899647570526
8,6,40.49735949562673,30.94,9.55735949562673
8,7,41.95058752785456,30.94,11.010587527854558
8,8,32.84031729837068,31.32,1.5203172983706779
8,9,32.84031729812125,31.32,1.520317298121249
8,10,32.84031729821976,31.32,1.5203172982197586
8,11,32.840317297970266,31.32,1.5203172979702657
8,12,42.39664460762478,29.03,13.366644607624778
8,13,40.23696405761361,29.03,11.206964057613611
8,14,30.539671352524934,29.03,1.5096713525249328
8,15,39.08297273183779,29.03,10.05297273183779
8,16,36.84472717016848,28.2,8.644727170168483
8,17,38.159095267832654,28.2,9.959095267832655
8,18,38.9859961282827,28.2,10.7859961282827
8,19,38.00839606760408,28.2,9.808396067604082
8,20,45.27395790763607,43.75,1.523957907636067
8,21,45.27395794511202,43.75,1.5239579451120235
8,22,45.273957964566925,43.75,1.5239579645669252
8,23,45.27395797808651,43.75,1.5239579780865071
8,24,53.313957989821624,51.79,1.523957989821625
8,25,53.313957999232194,51.79,1.523957999232195
8,26,53.31395800626194,51.79,1.5239580062619424
8,27,53.31395801312333,51.79,1.523958013123334
8,28,53.923958019403074,52.4,1.523958019403075
8,29,53.92395802562874,52.4,1.523958025628744
8,30,53.92395803078509,52.4,1.5239580307850886
8,31,53.92395803550118,52.4,1.523958035501181
8,32,50.9439580399439,49.42,1.5239580399438992
8,33,50.943958047823195,49.42,1.5239580478231929
8,34,50.94484751255173,49.42,1.5248475125517302
8,35,50.943958043524766,49.42,1.5239580435247646
8,36,50.90395805055701,49.38,1.523958050557006
8,37,50.90395804779868,49.38,1.5239580477986792
8,38,50.903958047854104,49.38,1.5239580478541015
8,39,50.90395805444776,49.38,1.5239580544477604
8,40,47.90395804580561,46.38,1.5239580458056068
8,41,47.90395805955781,46.38,1.5239580595578062
8,42,47.90395805046535,46.38,1.523958050465346
8,43,47.90395804858286,46.38,1.5239580485828554
8,44,37.803958048774966,36.28,1.5239580487749649
8,45,37.80395814463482,36.28,1.5239581446348183
8,46,37.803958048389944,36.28,1.523958048389943
8,47,37.80395805297374,36.28,1.5239580529737395
8,48,37.10395804817145,35.58,1.5239580481714512
8,49,37.10147168421379,35.58,1.5214716842137932
8,50,37.10395805278669,35.58,1.5239580527866892
8,51,37.104848926267806,35.58,1.5248489262678078
8,52,36.74395804866465,35.22,1.5239580486646531
8,53,36.74395804468039,35.22,1.5239580446803913
8,54,36.7439580444129,35.22,1.5239580444129004
8,55,36.743958080461084,35.22,1.5239580804610853
8,56,35.35053996559426,34.92,0.43053996559425656
8,57,36.436527113011714,34.92,1.516527113011712
8,58,38.504665771236574,34.92,3.5846657712365726
8,59,54.33187850199402,34.92,19.411878501994018
8,60,98.49768295723682,34.76,63.73768295723682
8,61,68.28290859904538,34.76,33.52290859904539
8,62,52.196750834356465,34.76,17.436750834356467
8,63,111.42877129061722,34.76,76.66877129061723
8,64,48.92731895528843,40.47,8.457318955288429
8,65,48.1270897716719,40.47,7.657089771671899
8,66,64.00035811684751,40.47,23.53035811684751
8,67,47.512152524556754,40.47,7.042152524556755
8,68,59.39400346144869,48.01,11.384003461448692
8,69,55.304929669615774,48.01,7.294929669615776
8,70,55.63286818453557,48.01,7.6228681845355695
8,71,86.19067755542233,48.01,38.18067755542233
8,72,57.31127557688416,51.61,5.701275576884157
8,73,68.12994039038601,51.61,16.51994039038601
8,74,76.86891665539906,51.61,25.258916655399062
8,75,58.15965403450163,51.61,6.5496540345016285
8,76,51.39435777790466,47.16,4.234357777904663
8,77,53.60399774912489,47.16,6.443997749124897
8,78,59.00666982009492,47.16,11.846669820094924
8,79,55.13987038402982,47.16,7.979870384029823
8,80,38.914303621866814,37.13,1.7843036218668118
