node,energy_shifted_kwh,net_shift_kwh,value_signal,dlmp_mean_signal,dlmp_max_signal
8,0.02541403513774559,-5.099741734890251e-06,0.000456312845183332,47.85229062469441,111.42877129061722
10,0.026098249509876253,-1.0996178171126386e-06,0.00046766083156423723,47.909648654938046,111.49807636877054
11,0.02505028223557347,-6.87186598735158e-06,0.0004491908424755474,47.92267090570854,111.68334942730704
16,1.305683793149172,-5.0855534657195944e-05,1.4982653480537835,395.3428540064295,4225.18268305984
20,3.8018747024215678,-0.00014433137639768834,11.782150653017101,1071.1121907363774,13351.651925288792
22,4.920461312096867,-0.00020178098978007597,19.350042214618565,1373.0460043549047,16376.426636217617
23,6.31594390027414,-0.00018488584101494787,31.986042202478732,1748.8858917081943,19422.736635371435
24,6.133710504060232,-1.5163149693593838,44.67082072521279,1784.0561777753417,19152.098873495488
25,7.387569478673091,-0.00012424990934167823,48.48145292016603,2093.097331162871,22468.11469881714
28,0.028934540674386854,-4.888698890495591e-07,0.0005827521573656081,48.78141750791201,120.36259205661969
31,0.027911223021264156,-0.005683999174415678,0.0008685944956506302,48.42545107843754,120.36850125761055
32,0.029364676053568774,-4.1420484126527407e-07,0.0005951037465214258,48.812517191386696,120.67128884807232
33,0.028314165181510746,-0.005728190610764688,0.000888652929145031,48.433064509992654,120.35644036646943
35,0.20993552981587432,-9.043919357323155e-06,0.03266899308682317,105.83338682755989,646.9103216523343
36,0.21739004389764974,-5.387662254385805e-07,0.033866801823075894,108.28410634469496,643.0252698134511
38,0.218857808421427,-3.6025011722340405e-07,0.03398988358430234,108.36055276420329,643.278049729655
42,1.6890753250189354,-0.09195896807391074,2.1726928453681933,566.3493932409601,4819.508422798205
48,3.277361132638381,-7.0536748939531435e-06,7.766977321851064,1059.3321845426367,9077.780565662692
54,2.9473536813747065,-0.18826913560288505,7.088519280044523,999.1464479284996,9093.07382212445
56,0.06167628713687868,-0.005111197200237681,0.00680081256205662,56.59986245599924,425.1539685480295
60,0.05908831662830433,-7.451409810721281e-06,0.006566313404447657,56.419628899083705,424.5446919517939
62,0.07626345978895444,-0.006316515887917561,0.017298198120699465,60.07118132945423,684.1286728118652
65,0.498316500747655,-0.008561699625304259,0.6282779450460343,153.22639874307777,3627.4581592371424
68,0.8080701417488766,-6.487351293479882e-06,1.7903631460294782,218.07107240178755,6469.972012389159
74,0.39946933716692734,-0.012614087596735463,0.4438257873809836,130.604796543133,2931.3621814110534
