i,j,name_i,name_j,distance_m,rssi_dbm,per,adjacent
0,1,0,1,400,-100.398,0.006,1
0,2,0,2,750,-129.065,1,0
0,3,0,3,400.125,-112.533,1,0
0,4,0,4,460.109,-122.236,1,0
0,5,0,5,520.096,-86.0025,0,1
0,6,0,6,580.086,-92.071,0,1
0,7,0,7,640.078,-99.8942,0.0015,1
0,8,0,8,524.69,-126.036,1,0
0,9,0,9,582.151,-92.8472,0,1
0,10,0,10,643.817,-97.295,0,1
0,11,0,11,653.07,-91.6689,0,1
0,12,0,12,751.565,-105.059,0.8,0
0,13,0,13,811.56,-97.313,0,1
0,14,0,14,871.556,-105.999,1,0
0,15,0,15,931.553,-104.883,0.8,0
0,16,0,16,991.549,-118.392,1,0
0,17,0,17,874.298,-106.38,1,0
0,18,0,18,932.847,-128.494,1,0
0,19,0,19,993.96,-113.176,1,0
0,20,0,20,999.972,-125.528,1,0
0,21,0,DSO,0,0,0,1
0,22,0,Market,0,0,0,1
1,2,1,2,350,-99.3253,0,1
1,3,1,3,10,-64.2071,0,1
1,4,1,4,60.8276,-94.767,0,1
1,5,1,5,120.416,-94.2718,0,1
1,6,1,6,180.278,-84.9731,0,1
1,7,1,7,240.208,-97.0261,0,1
1,8,1,8,138.924,-109.656,1,0
1,9,1,9,186.815,-86.2875,0,1
1,10,1,10,250,-80.7305,0,1
1,11,1,11,272.947,-101.774,0.03,1
1,12,1,12,351.639,-109.417,1,0
1,13,1,13,411.619,-120.525,1,0
1,14,1,14,471.604,-101.84,0.03,1
1,15,1,15,531.592,-104.476,0.8,0
1,16,1,16,591.583,-109.464,1,0
1,17,1,17,476.652,-102.468,0.15,1
1,18,1,18,533.857,-91.8402,0,1
1,19,1,19,595.615,-124.741,1,0
1,20,1,20,605.594,-95.2439,0,1
1,21,1,DSO,400,-114.853,1,0
1,22,1,Market,400,-115.747,1,0
2,3,2,3,350.143,-111.2,1,0
2,4,2,4,290.172,-119.66,1,0
2,5,2,5,230.217,-111.029,1,0
2,6,2,6,170.294,-88.8372,0,1
2,7,2,7,110.454,-76.2518,0,1
2,8,2,8,240.416,-106.988,1,0
2,9,2,9,177.2,-97.3716,0,1
2,10,2,10,130.384,-109.036,1,0
2,11,2,11,170.294,-110.901,1,0
2,12,2,12,10.0031,-87.4632,0,1
2,13,2,13,62.2901,-100.73,0.006,1
2,14,2,14,121.902,-76.7982,0,1
2,15,2,15,181.769,-110.051,1,0
2,16,2,16,241.702,-80.904,0,1
2,17,2,17,140.167,-85.5311,0,1
2,18,2,18,188.29,-83.966,0,1
2,19,2,19,251.41,-82.0536,0,1
2,20,2,20,274.215,-115.564,1,0
2,21,2,DSO,750,-115.999,1,0
2,22,2,Market,750,-93.1113,0,1
3,4,3,4,60,-90.9619,0,1
3,5,3,5,120,-90.1041,0,1
3,6,3,6,180,-103.648,0.4,1
3,7,3,7,240,-117.596,1,0
3,8,3,8,134.164,-90.7004,0,1
3,9,3,9,189.737,-98.5658,0,1
3,10,3,10,247.386,-87.4458,0,1
3,11,3,11,268.328,-107.925,1,0
3,12,3,12,351.5,-94.1799,0,1
3,13,3,13,411.5,-96.5842,0,1
3,14,3,14,471.5,-90.8306,0,1
3,15,3,15,531.5,-113.646,1,0
3,16,3,16,591.5,-118.448,1,0
3,17,3,17,475.288,-118.6,1,0
3,18,3,18,534.888,-102.743,0.15,1
3,19,3,19,594.524,-87.8911,0,1
3,20,3,20,603.528,-88.657,0,1
3,21,3,DSO,400.125,-113.726,1,0
3,22,3,Market,400.125,-108.681,1,0
4,5,4,5,60,-106.794,1,0
4,6,4,6,120,-99.6853,0.0015,1
4,7,4,7,180,-106.708,1,0
4,8,4,8,84.8528,-82.1893,0,1
4,9,4,9,134.164,-85.4467,0,1
4,10,4,10,189.737,-95.0846,0,1
4,11,4,11,216.333,-109.95,1,0
4,12,4,12,291.5,-89.854,0,1
4,13,4,13,351.5,-86.7238,0,1
4,14,4,14,411.5,-86.8982,0,1
4,15,4,15,471.5,-103.062,0.15,1
4,16,4,16,531.5,-104.956,0.8,0
4,17,4,17,415.835,-120.398,1,0
4,18,4,18,475.316,-89.0627,0,1
4,19,4,19,534.864,-97.9856,0,1
4,20,4,20,544.854,-122.537,1,0
4,21,4,DSO,460.109,-96.4444,0,1
4,22,4,Market,460.109,-89.713,0,1
5,6,5,6,60,-72.4404,0,1
5,7,5,7,120,-94.2518,0,1
5,8,5,8,60,-68.0139,0,1
5,9,5,9,84.8528,-73.5945,0,1
5,10,5,10,134.164,-101.382,0.03,1
5,11,5,11,169.706,-112.945,1,0
5,12,5,12,231.5,-87.4324,0,1
5,13,5,13,291.5,-117.387,1,0
5,14,5,14,351.5,-93.2166,0,1
5,15,5,15,411.5,-95.9208,0,1
5,16,5,16,471.5,-104.809,0.8,0
5,17,5,17,356.566,-106.095,1,0
5,18,5,18,415.867,-86.1898,0,1
5,19,5,19,475.288,-107.852,1,0
5,20,5,20,486.504,-108.383,1,0
5,21,5,DSO,520.096,-110.555,1,0
5,22,5,Market,520.096,-91.867,0,1
6,7,6,7,60,-105.501,1,0
6,8,6,8,84.8528,-93.8218,0,1
6,9,6,9,60,-77.6784,0,1
6,10,6,10,84.8528,-98.2399,0,1
6,11,6,11,134.164,-83.4695,0,1
6,12,6,12,171.5,-80.4549,0,1
6,13,6,13,231.5,-100.305,0.0015,1
6,14,6,14,291.5,-97.5312,0,1
6,15,6,15,351.5,-120.592,1,0
6,16,6,16,411.5,-111.74,1,0
6,17,6,17,297.589,-100.871,0.006,1
6,18,6,18,356.603,-99.2871,0,1
6,19,6,19,415.835,-105.679,1,0
6,20,6,20,428.609,-86.3156,0,1
6,21,6,DSO,580.086,-117.565,1,0
6,22,6,Market,580.086,-108.382,1,0
7,8,7,8,134.164,-76.0428,0,1
7,9,7,9,84.8528,-96.8013,0,1
7,10,7,10,60,-72.8379,0,1
7,11,7,11,120,-93.8554,0,1
7,12,7,12,111.5,-104.318,0.4,1
7,13,7,13,171.5,-114.145,1,0
7,14,7,14,231.5,-80.1593,0,1
7,15,7,15,291.5,-104.431,0.8,0
7,16,7,16,351.5,-117.92,1,0
7,17,7,17,239.121,-115.385,1,0
7,18,7,18,297.633,-102.781,0.15,1
7,19,7,19,356.566,-88.218,0,1
7,20,7,20,371.384,-100.992,0.006,1
7,21,7,DSO,640.078,-93.3719,0,1
7,22,7,Market,640.078,-123.486,1,0
8,9,8,9,134.164,-106.525,1,0
8,10,8,10,120,-88.3632,0,1
8,11,8,11,134.164,-90.136,0,1
8,12,8,12,239.177,-100.788,0.006,1
8,13,8,13,297.633,-87.764,0,1
8,14,8,14,356.603,-108.812,1,0
8,15,8,15,415.867,-121.156,1,0
8,16,8,16,475.316,-99.6663,0.0015,1
8,17,8,17,351.5,-96.5053,0,1
8,18,8,18,428.671,-107.159,1,0
8,19,8,19,471.5,-115.178,1,0
8,20,8,20,475.288,-110.729,1,0
8,21,8,DSO,524.69,-115.114,1,0
8,22,8,Market,524.69,-91.1269,0,1
9,10,9,10,134.164,-109.561,1,0
9,11,9,11,189.737,-104.847,0.8,0
9,12,9,12,181.656,-101.808,0.03,1
9,13,9,13,239.121,-105.159,0.8,0
9,14,9,14,297.589,-111.186,1,0
9,15,9,15,356.566,-96.8766,0,1
9,16,9,16,415.835,-98.0106,0,1
9,17,9,17,315.192,-112.177,1,0
9,18,9,18,351.5,-93.3918,0,1
9,19,9,19,428.609,-98.5787,0,1
9,20,9,20,449.102,-120.559,1,0
9,21,9,DSO,582.151,-117.088,1,0
9,22,9,Market,582.151,-104.101,0.4,1
10,11,10,11,60,-102.493,0.15,1
10,12,10,12,126.671,-112.323,1,0
10,13,10,13,181.729,-77.3315,0,1
10,14,10,14,239.177,-105.788,1,0
10,15,10,15,297.633,-101.074,0.006,1
10,16,10,16,356.603,-107.588,1,0
10,17,10,17,231.5,-81.9189,0,1
10,18,10,18,315.276,-86.2398,0,1
10,19,10,19,351.5,-114.073,1,0
10,20,10,20,356.566,-120.699,1,0
10,21,10,DSO,643.817,-90.4141,0,1
10,22,10,Market,643.817,-105.848,1,0
11,12,11,12,163.886,-90.1795,0,1
11,13,11,13,209.377,-101.23,0.006,1
11,14,11,14,260.804,-117.676,1,0
11,15,11,15,315.276,-97.9755,0,1
11,16,11,16,371.455,-98.2665,0,1
11,17,11,17,239.177,-88.7317,0,1
11,18,11,18,342.654,-112.89,1,0
11,19,11,19,356.603,-118.855,1,0
11,20,11,20,351.5,-113.459,1,0
11,21,11,DSO,653.07,-110.923,1,0
11,22,11,Market,653.07,-100.03,0.0015,1
12,13,12,13,60,-67.354,0,1
12,14,12,14,120,-104.169,0.4,1
12,15,12,15,180,-101.467,0.03,1
12,16,12,16,240,-85.3976,0,1
12,17,12,17,134.164,-87.2947,0,1
12,18,12,18,189.737,-100.385,0.006,1
12,19,12,19,247.386,-100.626,0.006,1
12,20,12,20,268.328,-80.6098,0,1
12,21,12,DSO,751.565,-124.633,1,0
12,22,12,Market,751.565,-117.557,1,0
13,14,13,14,60,-81.53,0,1
13,15,13,15,120,-92.0855,0,1
13,16,13,16,180,-113.123,1,0
13,17,13,17,84.8528,-100.833,0.006,1
13,18,13,18,134.164,-99.1633,0,1
13,19,13,19,189.737,-95.9349,0,1
13,20,13,20,216.333,-79.0115,0,1
13,21,13,DSO,811.56,-100.623,0.006,1
13,22,13,Market,811.56,-127.04,1,0
14,15,14,15,60,-100.507,0.006,1
14,16,14,16,120,-100.896,0.006,1
14,17,14,17,60,-89.2922,0,1
14,18,14,18,84.8528,-110.142,1,0
14,19,14,19,134.164,-77.0322,0,1
14,20,14,20,169.706,-83.1638,0,1
14,21,14,DSO,871.556,-109.381,1,0
14,22,14,Market,871.556,-95.9675,0,1
15,16,15,16,60,-96.9498,0,1
15,17,15,17,84.8528,-107.553,1,0
15,18,15,18,60,-74.9175,0,1
15,19,15,19,84.8528,-98.1223,0,1
15,20,15,20,134.164,-92.8014,0,1
15,21,15,DSO,931.553,-93.7004,0,1
15,22,15,Market,931.553,-100.275,0.0015,1
16,17,16,17,134.164,-104.447,0.8,0
16,18,16,18,84.8528,-90.5794,0,1
16,19,16,19,60,-97.3943,0,1
16,20,16,20,120,-81.6026,0,1
16,21,16,DSO,991.549,-128.523,1,0
16,22,16,Market,991.549,-93.5747,0,1
17,18,17,18,134.164,-102.69,0.15,1
17,19,17,19,120,-94.0143,0,1
17,20,17,20,134.164,-79.1998,0,1
17,21,17,DSO,874.298,-97.4005,0,1
17,22,17,Market,874.298,-91.3046,0,1
18,19,18,19,134.164,-90.0815,0,1
18,20,18,20,189.737,-78.2877,0,1
18,21,18,DSO,932.847,-95.367,0,1
18,22,18,Market,932.847,-92.2047,0,1
19,20,19,20,60,-87.6316,0,1
19,21,19,DSO,993.96,-101.472,0.03,1
19,22,19,Market,993.96,-95.709,0,1
20,21,20,DSO,999.972,-126.077,1,0
20,22,20,Market,999.972,-103.225,0.15,1
