node,energy_shifted_kwh,net_shift_kwh,value_signal,dlmp_mean_signal,dlmp_max_signal
8,0.01575985514444872,-0.0009046368494255064,0.00024280670960537314,44.17066631408875,89.70529460096799
10,0.015976057338977237,-1.921407214743303e-05,0.00022207833242926406,44.25142759468074,89.69330386233236
11,0.015928128671301504,-2.269998304649636e-05,0.00020830122415240409,44.3206566042158,89.87937170506692
16,0.6834175251975478,-0.0001258687699937644,0.5772235674725603,213.3804118555447,3462.597224246338
20,2.0479746728464443,-0.000449440318087857,4.473829862140725,555.5859123137253,8487.458232299346
22,1.4823366712729613,-1.4823366712729613,5.907105988380155,533.0628803350279,7096.497611943193
23,1.7963642652561687,-1.796180566455661,9.02447425351517,637.7140651432591,9722.247784501917
24,3.186048227094003,-0.0005570837647695948,13.2766420874635,861.5339100448663,16042.936412096728
25,3.4913672819485955,-0.0006857643739676123,15.701943079428384,930.3149164667467,18459.340073392304
28,0.017166179191542154,-0.00099944910048744,0.00027938869896302205,44.470695296688724,97.63331355281898
31,0.01720916296638913,-5.404659552633081e-06,0.00025604948737497463,44.562795167393666,97.75012499862204
32,0.016057659361558247,-0.0009896869941533669,0.00026427607824323234,44.255314368941384,97.80521983032648
33,0.013772574065716341,-0.013750039979664546,0.0008665796789916219,43.6329255617164,96.83287348448505
35,0.13962564376758996,-1.3524710249326367e-05,0.01539681636867913,83.35009142966014,417.0805043946899
36,0.14625899363914613,-5.9422121616772156e-06,0.01607258133422364,85.41742358892469,416.7332921822812
38,0.14621171079569595,-6.211105115588866e-06,0.016186930189208495,85.4798142283896,416.97736374542507
42,1.1950368998793182,-0.06379646507410552,1.088890162721366,401.7180464800281,3034.653572852524
48,2.207381459107413,-0.11990814361748789,3.788209314800621,723.0906760597671,5720.328147494277
54,2.063938700694692,-0.13845268884335488,3.580666884455525,679.6985945871571,5711.245262765593
56,0.06508459022776653,-6.395140104661565e-06,0.008658587659112657,55.64977706881686,446.958581603107
60,0.06470121422365868,-1.268558299738487e-05,0.008915160895289173,55.68587883406505,445.56157095312284
62,0.26637891211038733,-0.0009402959045075876,0.16896569959471572,99.45663649820652,1843.931306430526
65,0.6431573739327401,-0.0009321296036697707,0.9476939226316239,180.6060428743681,3943.1790578736063
68,1.022620132392964,-1.3770187720231475e-05,2.478356429736066,257.79360407273424,6821.106395514626
74,1.4478305976159305,-1.381731542494935e-05,4.965903213957798,347.06003136629505,9638.413410426067
