node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,0,38.246974190946354,31.0,7.246974190946354
8,1,36.86122862586134,31.0,5.861228625861337
8,2,37.72558427234353,31.0,6.725584272343532
8,3,38.157832816474574,31.0,7.157832816474574
8,4,32.56755093719173,30.94,1.6275509371917316
8,5,40.12159060918988,30.94,9.181590609189879
8,6,37.09341255831119,30.94,6.153412558311192
8,7,34.89052069607136,30.94,3.9505206960713615
8,8,36.607810769756796,31.32,5.2878107697567955
8,9,35.27047478447097,31.32,3.95047478447097
8,10,38.1078503324275,31.32,6.787850332427503
8,11,34.910358424932205,31.32,3.590358424932205
8,12,36.97208634358782,29.03,7.9420863435878175
8,13,34.941516524742134,29.03,5.911516524742133
8,14,30.652052431810063,29.03,1.6220524318100615
8,15,33.900551904101285,29.03,4.8705519041012835
8,16,28.911458569892318,28.2,0.7114585698923186
8,17,28.912034508758317,28.2,0.7120345087583182
8,18,28.912034912318372,28.2,0.7120349123183729
8,19,28.912035316557446,28.2,0.7120353165574471
8,20,44.463043423683224,43.75,0.7130434236832244
8,21,44.4643549388344,43.75,0.714354938834397
8,22,44.464376284089425,43.75,0.7143762840894254
8,23,44.46750686625392,43.75,0.7175068662539204
8,24,52.741696920599864,51.79,0.9516969205998649
8,25,52.7416970017702,51.79,0.9516970017701993
8,26,52.74169701900355,51.79,0.9516970190035536
8,27,52.74169702518447,51.79,0.9516970251844725
8,28,53.351697030967046,52.4,0.9516970309670469
8,29,53.35169703533661,52.4,0.9516970353366148
8,30,53.35169703906733,52.4,0.9516970390673336
8,31,53.351697043870324,52.4,0.9516970438703254
8,32,50.371697047656234,49.42,0.9516970476562321
8,33,50.37169705313865,49.42,0.9516970531386448
8,34,51.01743239703545,49.42,1.5974323970354476
8,35,50.37169706900915,49.42,0.9516970690091497
8,36,50.33169705564704,49.38,0.9516970556470383
8,37,50.331697054899905,49.38,0.9516970548999026
8,38,50.331697055842355,49.38,0.9516970558423523
8,39,50.33169705524017,49.38,0.9516970552401673
8,40,47.33169705586793,46.38,0.9516970558679247
8,41,47.331697056812246,46.38,0.9516970568122431
8,42,47.331697056723776,46.38,0.9516970567237735
8,43,47.33169705701608,46.38,0.9516970570160765
8,44,37.23169705727747,36.28,0.951697057277471
8,45,37.23169705637206,36.28,0.9516970563720619
8,46,37.231697057928145,36.28,0.9516970579281434
8,47,37.231697056348345,36.28,0.951697056348344
8,48,36.53169705704086,35.58,0.9516970570408603
8,49,36.531697057776,35.58,0.951697057776002
8,50,36.531697056544985,35.58,0.9516970565449867
8,51,36.531697057307845,35.58,0.9516970573078467
8,52,36.171697055085126,35.22,0.9516970550851269
8,53,36.17169705508132,35.22,0.9516970550813184
8,54,36.17169705614051,35.22,0.9516970561405103
8,55,36.17169705506377,35.22,0.951697055063768
8,56,35.87169705623936,34.92,0.951697056239361
8,57,35.87169705800569,34.92,0.9516970580056849
8,58,40.8504595817065,34.92,5.930459581706501
8,59,44.31064495329927,34.92,9.390644953299265
8,60,58.36627870459657,34.76,23.60627870459657
8,61,54.90187651295439,34.76,20.14187651295439
8,62,36.40652724047807,34.76,1.646527240478072
8,63,89.70529460096799,34.76,54.94529460096799
8,64,48.435306382404065,40.47,7.965306382404066
8,65,46.878206270423554,40.47,6.408206270423555
8,66,66.8065512343087,40.47,26.3365512343087
8,67,46.85918266601237,40.47,6.389182666012374
8,68,59.9857458827979,48.01,11.975745882797902
8,69,56.38929522814766,48.01,8.379295228147662
8,70,52.45418909831974,48.01,4.44418909831974
8,71,85.26296869408891,48.01,37.25296869408891
8,72,55.3793841853268,51.61,3.7693841853267998
8,73,72.63614644122434,51.61,21.02614644122434
8,74,80.49018783072698,51.61,28.88018783072698
8,75,55.51395794807192,51.61,3.9039579480719198
8,76,49.778790532020736,47.16,2.618790532020739
8,77,49.642029080767394,47.16,2.482029080767397
8,78,71.52238251937429,47.16,24.362382519374293
