node,market,energy_kwh,price_eur_mwh,cost_eur
8,bilateral,0.0,38.0,0.0
8,spot,20.854145397006103,39.06041666666667,0.6960696966970674
10,bilateral,0.0,38.0,0.0
10,spot,11.37725544338022,39.06041666666667,0.347810777133193
11,bilateral,0.1552580928395767,38.0,0.005899807527903914
11,spot,24.522147293617643,39.06041666666667,0.829163511822905
16,bilateral,0.0,38.0,0.0
16,spot,9.59808081872654,39.06041666666667,0.29507521872781806
20,bilateral,0.0,38.0,0.0
20,spot,12.788521498440701,39.06041666666667,0.3851214353932627
22,bilateral,0.0,38.0,0.0
22,spot,13.151577373273636,39.06041666666667,0.3967499106139694
23,bilateral,0.0,38.0,0.0
23,spot,9.955098512957687,39.06041666666667,0.3060781799915438
24,bilateral,1.1096690575355397,38.0,0.042167424186350506
24,spot,3.512138064717544,39.06041666666667,-0.12066075681971336
25,bilateral,0.17192209598352104,38.0,0.0065330396473737996
25,spot,9.908183879864158,39.06041666666667,0.1991066958791794
28,bilateral,0.0,38.0,0.0
28,spot,-1.1252025229358904,39.06041666666667,-0.22671379543934161
31,bilateral,0.125,38.0,0.00475
31,spot,-3.4641582016245263,39.06041666666667,-0.2486968835213263
32,bilateral,0.3462624040037968,38.0,0.01315797135214428
32,spot,-0.8139483313905971,39.06041666666667,-0.21722243123864327
33,bilateral,0.0,38.0,0.0
33,spot,8.586311756588298,39.06041666666667,0.26328645331377265
35,bilateral,0.4810349613582517,38.0,0.018279328531613567
35,spot,-4.358324261073821,39.06041666666667,-0.41436471844529715
36,bilateral,0.0,38.0,0.0
36,spot,6.568435735757511,39.06041666666667,0.11640203934708276
38,bilateral,0.025000000000000022,38.0,0.0009500000000000009
38,spot,-4.048078253443117,39.06041666666667,-0.3320169411623086
42,bilateral,0.0,38.0,0.0
42,spot,13.540689466767077,39.06041666666667,0.41755137976127904
48,bilateral,0.0,38.0,0.0
48,spot,-1.7727493100876075,39.06041666666667,-0.3067953031519831
54,bilateral,0.25251186400811176,38.0,0.009595450832308247
54,spot,13.201387415028755,39.06041666666667,0.38248082221398166
56,bilateral,0.0,38.0,0.0
56,spot,3.6543862207151574,39.06041666666667,-0.0045722235571643705
60,bilateral,0.0,38.0,0.0
60,spot,10.09092753899576,39.06041666666667,0.3093781557766183
62,bilateral,0.1290307693930508,38.0,0.004903169236935931
62,spot,-1.1948527088244538,39.06041666666667,-0.2260799272661724
65,bilateral,0.0,38.0,0.0
65,spot,20.83596677759872,39.06041666666667,0.698273517132461
68,bilateral,0.0,38.0,0.0
68,spot,11.008284587995375,39.06041666666667,0.3346955636141533
74,bilateral,0.0,38.0,0.0
74,spot,9.38761758450773,39.06041666666667,0.2861089270925634
